No.,Latitude,Longitude,Altitude,Pitch,Roll,Yaw
DSC05688.JPG,24.0729126,120.6541016,271,5.65,-6,-32.11
DSC05689.JPG,24.07313639,120.6539225,271,5.21,6.32,-39.69
DSC05690.JPG,24.07336833,120.6536947,270,4.92,7.11,-38.11
DSC05691.JPG,24.07361654,120.6535319,270,5.3,1.98,-33.77
DSC05692.JPG,24.07387288,120.6533366,270,5.64,6.06,-30.22
DSC05693.JPG,24.07412516,120.6531738,270,5.5,0.95,-33.17
DSC05694.JPG,24.07437337,120.6529948,271,3.05,6.56,-33.71
DSC05695.JPG,24.07463379,120.6528158,270,3.02,6.07,-31.4
DSC05696.JPG,24.07489827,120.6526367,270,4.69,2.58,-31.7
DSC05697.JPG,24.07516683,120.6524414,270,6.12,1.71,-33
DSC05698.JPG,24.07543132,120.6522786,270,4.64,2.73,-31.6
DSC05699.JPG,24.0756958,120.6520996,271,3.18,7.11,-27.8
DSC05700.JPG,24.07596436,120.6519368,271,2.26,2.29,-31.09
DSC05701.JPG,24.07623291,120.6517741,271,2.93,1.58,-30.39
DSC05702.JPG,24.07650553,120.6515951,270,4.83,2.13,-29.29
DSC05703.JPG,24.07678223,120.651416,269,5.84,4.23,-30.68
DSC05704.JPG,24.07706706,120.6512533,270,1.21,45.12,-19.5
DSC05705.JPG,24.07740479,120.6512695,267,3.66,44.26,29.69
DSC05706.JPG,24.07764079,120.6516602,263,10.28,33.2,81.00999
DSC05707.JPG,24.07759196,120.652181,269,11.33,10.88,102.74
DSC05708.JPG,24.07744548,120.6526855,273,4.16,9.75,110.39
DSC05709.JPG,24.07728271,120.6532064,275,2.25,0.4,109.45
DSC05710.JPG,24.07710368,120.6537435,274,0.65,-1.55,109.71
DSC05711.JPG,24.07694906,120.6542643,273,0.82,-6.42,102.88
DSC05712.JPG,24.07682699,120.6548014,271,3.84,-7.47,98.42
DSC05713.JPG,24.07676188,120.6553548,272,2.45,-1.42,96.09
DSC05714.JPG,24.07671712,120.6558919,272,1.64,1.96,95.9
DSC05715.JPG,24.0766805,120.6564453,270,2.64,2.14,93.91
DSC05716.JPG,24.07665202,120.657015,270,4.42,8.71,96.00999
DSC05717.JPG,24.07661133,120.6576009,272,-0.26,14.43,100.37
DSC05718.JPG,24.07655029,120.6581543,274,-0.46,4.63,97.99001
DSC05719.JPG,24.07648112,120.6587891,272,-0.28,1.01,97.6
DSC05720.JPG,24.07642008,120.6592936,271,-0.76,6.64,96.98
DSC05721.JPG,24.07634277,120.6598796,270,2.5,1.14,99.32999
DSC05722.JPG,24.07625326,120.6604492,270,1.55,1.22,97.89
DSC05723.JPG,24.07618408,120.6610352,271,1.97,-5.88,96.3
DSC05724.JPG,24.07611084,120.6616211,270,3.01,-1.22,96.18
DSC05725.JPG,24.07605387,120.662207,270,1.9,-2.11,94.59
DSC05726.JPG,24.07601725,120.6627767,272,-1.73,5.32,93.91
DSC05727.JPG,24.07597656,120.6633626,269,-0.52,12.3,98.76
DSC05728.JPG,24.07592367,120.6639486,270,1.81,-0.16,93.79
DSC05729.JPG,24.07586263,120.6645345,269,0.14,10.7,98.58
DSC05730.JPG,24.07577311,120.6651204,269,1.21,2.85,99.93
DSC05731.JPG,24.07568359,120.6657064,268,2.92,-0.49,98.83
DSC05732.JPG,24.07559814,120.666276,268,1.57,-0.5,99.15
DSC05733.JPG,24.07552083,120.6668457,269,0.02,5.09,99
DSC05734.JPG,24.07544759,120.6674154,270,-1.16,-4.81,96.2
DSC05735.JPG,24.07538249,120.6680013,266,4.88,0.41,95.94
DSC05736.JPG,24.07532552,120.6685872,266,4.92,1.82,96.32
DSC05737.JPG,24.07526042,120.6691732,268,2.57,2.88,96.52
DSC05738.JPG,24.07519531,120.6697591,269,1.6,-1.06,95.62
DSC05739.JPG,24.07513021,120.6703288,268,2.56,5.41,97.44
DSC05740.JPG,24.07506917,120.6709147,268,2.83,5.54,96.48
DSC05741.JPG,24.07502035,120.6714844,270,2.06,2,94.62
DSC05742.JPG,24.07496338,120.672054,272,2.14,5.9,96.08
DSC05743.JPG,24.07490234,120.67264,270,3.25,4.77,97.29
DSC05744.JPG,24.07482503,120.6732096,272,1.99,11.36,98.44
DSC05745.JPG,24.07473958,120.6737793,272,-1.07,42.24,106.13
DSC05746.JPG,24.07453613,120.6743327,270,-1.2,53,134.4
DSC05747.JPG,24.07414551,120.6746582,272,1.04,38.84,155.74
DSC05748.JPG,24.07369792,120.6747721,271,1.35,41.64,-171.35
DSC05749.JPG,24.07336019,120.6745605,268,1.28,40.36,-123.68
DSC05750.JPG,24.07334391,120.6742188,269,8.78,2.85,-75.13
DSC05751.JPG,24.0734904,120.6739258,273,4.27,-9.31,-64.78
DSC05752.JPG,24.0736084,120.6736165,275,1.7,-5.58,-74.71001
DSC05753.JPG,24.07367757,120.673291,275,-0.5,2.45,-79.96
DSC05754.JPG,24.07371826,120.6729492,271,0.28,0.51,-83.7
DSC05755.JPG,24.07375488,120.6726074,271,0.95,0.71,-84.5
DSC05756.JPG,24.07379557,120.6722656,269,1.99,3.97,-82.52
DSC05757.JPG,24.07384847,120.6719076,268,3.49,4.12,-77.45
DSC05758.JPG,24.07390137,120.6715658,268,2.97,-0.56,-82.88
DSC05759.JPG,24.07393392,120.6712402,269,0.8,5.01,-84.29
DSC05760.JPG,24.0739624,120.6708984,270,-0.06,2.96,-84.19
DSC05761.JPG,24.07401123,120.6705729,268,0.17,-3.19,-83.71001
DSC05762.JPG,24.07405599,120.6702311,269,0.31,2.32,-81.42
DSC05763.JPG,24.07410482,120.6698893,267,0.81,2.22,-82.78
DSC05764.JPG,24.0741333,120.6695475,267,4.06,0.44,-85.55
DSC05765.JPG,24.07416992,120.669222,268,3.08,-0.3,-81.75001
DSC05766.JPG,24.07420654,120.6688802,268,1.51,3.78,-84.86
DSC05767.JPG,24.0742513,120.6685384,267,3.68,-1.1,-82.23
DSC05768.JPG,24.07429606,120.6682292,271,0.87,0.81,-84.66
DSC05769.JPG,24.07432454,120.6679036,271,-1.11,4.06,-84.64
DSC05770.JPG,24.07436523,120.6675618,270,-0.59,3.13,-82.77
DSC05771.JPG,24.07440592,120.6672201,267,3.15,2.09,-82.51
DSC05772.JPG,24.07444661,120.6668783,271,0.33,0.2,-83.62
DSC05773.JPG,24.0744751,120.6665202,270,-0.82,1.61,-85.5
DSC05774.JPG,24.07451172,120.6661621,266,0.96,4.45,-86.56
DSC05775.JPG,24.07455241,120.665804,269,0.27,2.57,-82.89
DSC05776.JPG,24.07460531,120.665446,268,1.64,1,-79.97
DSC05777.JPG,24.074646,120.6650879,268,1.12,0.29,-84.32999
DSC05778.JPG,24.07466634,120.6647298,267,3.18,6.59,-85.88
DSC05779.JPG,24.07469482,120.6643555,266,1.63,7.83,-82.77
DSC05780.JPG,24.07475586,120.6640137,269,2.73,-0.97,-78.7
DSC05781.JPG,24.07481689,120.6636556,268,0.45,1.81,-80.37
DSC05782.JPG,24.07486165,120.6632975,269,0.48,5.49,-80.59
DSC05783.JPG,24.07489014,120.6629557,271,-1.65,4.08,-86
DSC05784.JPG,24.07492269,120.6625814,267,2.04,1.85,-84.92
DSC05785.JPG,24.07496338,120.6622396,267,4.06,6.97,-80.18
DSC05786.JPG,24.075,120.6618815,266,4.06,0.9899999,-84.65
DSC05787.JPG,24.07504069,120.6615072,265,5.31,0.4,-84.23
DSC05788.JPG,24.07508545,120.6611491,267,4.21,0.21,-85.00999
DSC05789.JPG,24.07513021,120.6607747,267,2.62,1.53,-82.93
DSC05790.JPG,24.07518717,120.6604004,269,1.45,1.24,-78.9
DSC05791.JPG,24.07524007,120.6600423,270,-1.49,4.54,-81.82
DSC05792.JPG,24.07527669,120.6596842,268,1.16,-1.88,-85.26
DSC05793.JPG,24.07531331,120.6593262,267,2.53,-4.96,-86.24
DSC05794.JPG,24.07533773,120.6590007,268,1.67,3.94,-86.7
DSC05795.JPG,24.07538249,120.6586426,265,4.06,-1.19,-82.32999
DSC05796.JPG,24.07543132,120.6583008,266,5.62,-2.03,-83.17
DSC05797.JPG,24.07546794,120.657959,266,4.12,6.24,-83.32999
DSC05798.JPG,24.07550863,120.6576009,266,5.13,5.38,-82.43001
DSC05799.JPG,24.07554525,120.6572266,268,4.27,0.46,-83.82
DSC05800.JPG,24.07558187,120.6569173,269,2.24,2.6,-83.72
DSC05801.JPG,24.07561849,120.6565592,268,2.42,2.58,-85
DSC05802.JPG,24.07565104,120.6561686,268,3.22,2.73,-83.88
DSC05803.JPG,24.0756958,120.6558431,268,3.13,-1.1,-82.56
DSC05804.JPG,24.07573649,120.655485,270,0.02,5.65,-81.72
DSC05805.JPG,24.07577311,120.6551432,268,3.02,0.14,-84.64
DSC05806.JPG,24.07582194,120.6547852,268,2.01,3.72,-81.18
DSC05807.JPG,24.0758667,120.6544271,267,2.45,-0.39,-83.00999
DSC05808.JPG,24.07590739,120.654069,267,2.67,1.49,-85.15
DSC05809.JPG,24.07593994,120.6537272,271,-0.55,6.34,-82.72
DSC05810.JPG,24.07597656,120.6533691,268,-0.9899999,6.56,-85.92
DSC05811.JPG,24.07603353,120.6529948,268,2.14,-1.76,-79.63
DSC05812.JPG,24.07609049,120.6526367,270,-3.71,-3.38,-83.59
DSC05813.JPG,24.07614339,120.6522624,267,-1.17,4.39,-80.73
DSC05814.JPG,24.07617594,120.6519043,267,0.07,3.08,-85.64
DSC05815.JPG,24.07620036,120.6515299,266,1,9.12,-84.55
DSC05816.JPG,24.07621257,120.6511882,265,-2.18,-49.62,-106.72
DSC05817.JPG,24.07596436,120.6508952,264,6.14,-38.32,-157.02
DSC05818.JPG,24.0755127,120.6508952,266,8.05,-33.5,170.91
DSC05819.JPG,24.07506917,120.651123,267,2.68,-48.4,137.55
DSC05820.JPG,24.0747762,120.6515788,269,4.51,-27.67,110.51
DSC05821.JPG,24.07466227,120.6521484,271,1.15,-24.95,92.49
DSC05822.JPG,24.07466634,120.6527344,269,2.03,-4.82,86.41
DSC05823.JPG,24.07472738,120.6532715,271,0.66,7.5,83.04
DSC05824.JPG,24.07480876,120.6538086,270,-0.61,4.17,80.78
DSC05825.JPG,24.07487386,120.6543457,270,-0.69,8.53,84.44
DSC05826.JPG,24.07491455,120.6548991,269,0.33,10.97,87.67001
DSC05827.JPG,24.07491048,120.6554688,269,0.25,5.97,92.42
DSC05828.JPG,24.07487386,120.6560221,268,-0.85,7.23,97.13
DSC05829.JPG,24.07480876,120.6565918,267,2.98,4.12,97.15
DSC05830.JPG,24.07473958,120.6571452,268,0.7399999,-1.61,94.84
DSC05831.JPG,24.07466227,120.6576986,266,0.52,5.28,99.77
DSC05832.JPG,24.07458089,120.6582682,267,3.8,-4.41,96.27
DSC05833.JPG,24.07449951,120.6588379,268,4.08,0.6,97.93
DSC05834.JPG,24.0744222,120.6593913,267,2.51,-2.67,96.87
DSC05835.JPG,24.07434896,120.6599447,269,1.5,-1.1,96.51
DSC05836.JPG,24.07427979,120.6604818,269,1.64,2.27,98.14
DSC05837.JPG,24.07421875,120.6610352,268,2.55,4.42,97.1
DSC05838.JPG,24.07415365,120.6615885,268,3.37,0.55,96.47
DSC05839.JPG,24.0740804,120.6621257,268,1.88,5.09,99.78
DSC05840.JPG,24.07400309,120.662679,267,3.84,1.54,100.03
DSC05841.JPG,24.07393799,120.6632161,267,3.48,-1.76,94.99001
DSC05842.JPG,24.07388509,120.663737,266,4.54,3.41,95.78
DSC05843.JPG,24.07382406,120.6643066,264,7.81,1.65,97.45
DSC05844.JPG,24.0737793,120.66486,266,7.02,6.85,95.44
DSC05845.JPG,24.07373047,120.6654297,267,4.94,5.9,98.26
DSC05846.JPG,24.07366943,120.6659993,268,2.95,1.74,94.42
DSC05847.JPG,24.07361654,120.666569,271,1.22,1.96,92.79
DSC05848.JPG,24.07354736,120.6671224,272,-0.17,3.81,99.31001
DSC05849.JPG,24.07347005,120.6676921,268,3.42,-3.54,97.19
DSC05850.JPG,24.07338867,120.6682617,265,5.71,-5.09,97.99001
DSC05851.JPG,24.0733195,120.6688151,268,4.33,6.78,96.99001
DSC05852.JPG,24.0732666,120.6693359,269,0.78,-1.85,95.1
DSC05853.JPG,24.0732137,120.6699382,268,3.59,-0.8,94.44
DSC05854.JPG,24.0731486,120.6704915,268,2.94,0.61,98.31001
DSC05855.JPG,24.0730835,120.6709961,268,2.81,1.71,97.42
DSC05856.JPG,24.07301432,120.6716146,269,1.5,0.66,97.13
DSC05857.JPG,24.07294108,120.672168,269,1.71,-2.63,96.89
DSC05858.JPG,24.0728597,120.6727214,266,4.46,-1.78,101.03
DSC05859.JPG,24.07278239,120.673291,266,4.87,2.75,98.49
DSC05860.JPG,24.07263997,120.6738444,266,4.46,44.75,116.41
DSC05861.JPG,24.07233887,120.6742513,266,3.61,43.71,143.03
DSC05862.JPG,24.07190755,120.6744303,269,3.34,46.48,174.34
DSC05863.JPG,24.07150065,120.674349,268,1.75,44.84,-153.58
DSC05864.JPG,24.07126872,120.6740234,264,6.69,37.92,-104.32
DSC05865.JPG,24.07137044,120.673763,266,11.69,-7.01,-62.52
DSC05866.JPG,24.07152913,120.6734863,271,4.69,-13.64,-64.83
DSC05867.JPG,24.0716512,120.6731608,270,3.31,-5.7,-74.11
DSC05868.JPG,24.07172852,120.672819,269,4.45,0.96,-78.56
DSC05869.JPG,24.07178955,120.6724772,269,4.56,-0.61,-81.58
DSC05870.JPG,24.07184245,120.6721029,268,4.49,1.28,-81.68999
DSC05871.JPG,24.07189941,120.6717285,269,5.29,-0.65,-82.17
DSC05872.JPG,24.07194417,120.6713542,269,3.29,0.92,-84.48
DSC05873.JPG,24.07198486,120.6709961,268,3.64,2.93,-82.75001
DSC05874.JPG,24.07202555,120.670638,269,2.12,2.06,-82.05
DSC05875.JPG,24.07206217,120.6702962,269,2.67,1.77,-83.75001
DSC05876.JPG,24.07210286,120.6699544,269,2.24,0.7399999,-83.56
DSC05877.JPG,24.07215169,120.6696126,267,3.82,2.43,-82.72
DSC05878.JPG,24.07220052,120.6692546,268,4.1,-1.04,-82.55
DSC05879.JPG,24.07224935,120.6688802,270,2.27,3.85,-81.9
DSC05880.JPG,24.07229004,120.6685221,268,3.62,-0.9899999,-85.00999
DSC05881.JPG,24.07231038,120.6681803,268,3.63,2,-86.36
DSC05882.JPG,24.0723348,120.6678385,268,4.3,5.66,-84.76
DSC05883.JPG,24.07237142,120.6674805,267,4.75,1.69,-83.14
DSC05884.JPG,24.07241211,120.6671387,267,5.26,3.91,-82.68
DSC05885.JPG,24.0724528,120.6667969,268,5.01,1.27,-83.39001
DSC05886.JPG,24.07249756,120.6664551,269,3.56,5.05,-81.43001
DSC05887.JPG,24.07254232,120.666097,268,3.82,0.15,-83.23
DSC05888.JPG,24.07257894,120.6657389,268,3.95,1.8,-85.02
DSC05889.JPG,24.0726237,120.6653809,269,3.11,-0.47,-81.78
DSC05890.JPG,24.07267253,120.6650228,269,2.44,-0.79,-83.71001
DSC05891.JPG,24.07270508,120.664681,271,1.46,3.36,-83.98
DSC05892.JPG,24.0727417,120.6643229,268,2.06,1.33,-85.19
DSC05893.JPG,24.0727946,120.6639648,268,3.54,2.38,-80.19
DSC05894.JPG,24.07283936,120.663623,271,-0.05,-2.22,-83.37
DSC05895.JPG,24.07288005,120.6632813,269,1.43,4.59,-82.47
DSC05896.JPG,24.0729248,120.6629069,269,2.25,-1.34,-84.11
DSC05897.JPG,24.07295736,120.6625488,269,0.77,0.65,-83.82
DSC05898.JPG,24.07298991,120.6621908,269,-1.05,1.47,-85.66
DSC05899.JPG,24.07301839,120.6618327,268,0.35,5.92,-84.56
DSC05900.JPG,24.07305908,120.6615072,271,-0.9,-0.49,-82.57
DSC05901.JPG,24.0730957,120.6611654,269,0.83,4.69,-83.25
DSC05902.JPG,24.07313639,120.6608073,267,2.07,3.33,-81.83
DSC05903.JPG,24.07318115,120.6604492,267,3.22,2.48,-83.56
DSC05904.JPG,24.07321777,120.6601074,267,1.12,0.31,-84.59
DSC05905.JPG,24.07325846,120.6597493,268,1.62,3.07,-81.71001
DSC05906.JPG,24.07330322,120.659375,268,-0.9299999,4.92,-82.00999
DSC05907.JPG,24.07334391,120.6590332,272,-3.12,-0.82,-82.91
DSC05908.JPG,24.07338867,120.6586589,270,-2.13,-0.28,-87.51
DSC05909.JPG,24.07343343,120.6582845,269,-0.38,-4.93,-82.00999
DSC05910.JPG,24.0734904,120.6578939,267,0.44,-6.06,-85.98
DSC05911.JPG,24.07352702,120.6575033,270,-0.64,-1.79,-85.75001
DSC05912.JPG,24.07356771,120.6570964,265,3.56,2.81,-84.65
DSC05913.JPG,24.07359212,120.656722,268,0.8,4.81,-83.41
DSC05914.JPG,24.07363688,120.6563477,268,0.9,0.94,-82.00999
DSC05915.JPG,24.07369385,120.6559896,268,1.22,-0.03,-80.04
DSC05916.JPG,24.07374674,120.6556152,266,3.56,3.93,-82.23
DSC05917.JPG,24.0737793,120.6552572,267,2.57,2.98,-84.82
DSC05918.JPG,24.07380371,120.6549154,268,0.3,5.86,-85.62
DSC05919.JPG,24.07384033,120.6545736,267,3.3,5.54,-81.79
DSC05920.JPG,24.0738973,120.6542155,266,3.42,1.49,-79.77
DSC05921.JPG,24.0739502,120.6538574,267,2.18,-0.72,-82.32
DSC05922.JPG,24.07399495,120.6535156,269,0.89,1.27,-83.56
DSC05923.JPG,24.07402751,120.6531738,269,-0.39,2.05,-87.05
DSC05924.JPG,24.07406413,120.6528158,268,2.71,8.69,-79.8
DSC05925.JPG,24.07410889,120.6524414,268,1.34,0.66,-85.29
DSC05926.JPG,24.07414144,120.6520671,270,-1.64,5.06,-85.47
DSC05927.JPG,24.0741862,120.651709,271,-2.87,4.05,-81.43001
DSC05928.JPG,24.07424316,120.6513672,270,-2.53,-18.01,-81.68
DSC05929.JPG,24.07420247,120.6510417,268,-2.48,-47.64,-125.55
DSC05930.JPG,24.0738444,120.6508464,261,8.89,-11.43,-172.17
DSC05931.JPG,24.07338867,120.650944,265,5.79,-54.12,150.93
DSC05932.JPG,24.07299805,120.6512695,270,1.35,-34.96,125.13
DSC05933.JPG,24.07275798,120.6517578,273,-0.59,-29.63,108.17
DSC05934.JPG,24.07266439,120.6522949,271,-1.24,-12.81,93.28
DSC05935.JPG,24.07268066,120.6528483,271,-2.71,-6.04,82.18
DSC05936.JPG,24.07274984,120.6533529,270,-0.24,3.16,80.91
DSC05937.JPG,24.07281901,120.65389,267,0.52,10.99,85.19
DSC05938.JPG,24.07287191,120.6544271,267,2.09,7.7,84.02
DSC05939.JPG,24.07290446,120.6549805,267,1.89,9.34,89.02
DSC05940.JPG,24.07288818,120.6555501,266,2.94,7.77,93.75001
DSC05941.JPG,24.07285156,120.6561035,268,0.01,5.9,95.26
DSC05942.JPG,24.07279867,120.6566406,269,-0.29,5.78,97.53
DSC05943.JPG,24.07272542,120.6571777,269,1.18,3.86,99.18
DSC05944.JPG,24.07263997,120.6577311,266,3.68,-3.97,97.76
DSC05945.JPG,24.07256266,120.6582682,266,1.16,-5.78,96.39001
DSC05946.JPG,24.07250163,120.6587891,269,2.01,1.26,93.71001
DSC05947.JPG,24.07246501,120.6593262,267,2.78,2.2,94.49
DSC05948.JPG,24.07240804,120.6598796,267,3.39,6.85,98.28
DSC05949.JPG,24.0723348,120.6604004,270,-0.14,-2.83,96.38
DSC05950.JPG,24.07225342,120.6609212,267,2.18,0.46,99.84
DSC05951.JPG,24.07215983,120.6614583,267,2.3,-2.57,100.53
DSC05952.JPG,24.07208252,120.6619629,267,2.3,-0.37,98.57
DSC05953.JPG,24.07201335,120.6625,266,4.43,2.41,99.31001
DSC05954.JPG,24.07193604,120.6630208,268,3.81,2.58,100.93
DSC05955.JPG,24.07188314,120.6635742,269,3.95,-1.02,93.94
DSC05956.JPG,24.07183838,120.6641439,267,4.92,4.86,95.52
DSC05957.JPG,24.07179769,120.6647298,268,2.43,9.22,95.19
DSC05958.JPG,24.07173665,120.6653158,268,1.17,-6.74,96.21
DSC05959.JPG,24.0716512,120.6659017,270,1.67,3.48,99.03001
DSC05960.JPG,24.07156576,120.6664714,271,-0.05,-4.4,98.07001
DSC05961.JPG,24.07148031,120.667041,269,1.06,-2.55,97.89
DSC05962.JPG,24.07141927,120.667627,266,3.47,0.76,95.1
DSC05963.JPG,24.07138672,120.6682129,267,3.91,6.44,92.19
DSC05964.JPG,24.07135824,120.6688151,269,1.33,4.41,93.09
DSC05965.JPG,24.07130534,120.6693848,270,-1.38,8.55,97.78
DSC05966.JPG,24.07124023,120.669987,267,2.25,6.42,97.82
DSC05967.JPG,24.07118327,120.6705729,269,2.88,0.34,94.85
